地区,年末总人口,在岗职工平均工资,房地产开发投资额,商品房销售面积,商品房平均销售价格,城乡居民储蓄年末余额,邮政局数量,社会商品零售总额,货物进出口总额,普通高等学校在校人数,医疗单位数量,从业医师数量
北京,1359.2,134994,3692.54,869.95,32140,28962.2,5106,11575.4,324017.42,59.2878,656,9.44
天津,1049.99,96965,2233.39,1482.12,15331,9558.05,2084,5729.7,112919.17,51.4669,426,4.11
石家庄,973.29,67880,1212.27,1027.34,10170,5641.62,298,2983.3,12729.27,46.0695,235,3.45
太原,369.17,72114,470.63,786.41,9017,4384.88,163,1767.8,13527.18,44.0173,175,2.15
呼和浩特,242.85,63084,238.4,316.51,6510,1953.41,116,1518.8,1599.13,23.933,108,1.02
沈阳,736.95,74181,814.24,1300.24,8062,6495.25,230,3989.8,12845.81,39.7776,274,2.82
大连,594.89,81884,566.64,839.84,10315,5414.5,241,3722.5,61789.87,28.4856,153,2.03
长春,748.92,73469,573.78,1147.19,7017,4566.99,205,2922.8,14089.55,43.7812,162,2.11
哈尔滨,955,67542,498.59,1269.54,8339,4938.37,382,4044.8,3352.93,50.8884,310,2.2
上海,1455.13,130765,3856.53,1691.6,23804,24338.48,16374,11830.3,476196.65,51.4917,363,6.79
南京,680.67,101502,2170.21,1429.61,15653,6019.7,181,5604.7,61187.27,72.154,220,2.81
杭州,753.88,96670,2734.2,2054.11,20354,8502.96,287,5717.4,69012.88,42.5769,302,4.18
宁波,596.93,91705,1374.47,1543.64,13324,5902.68,270,4047.8,112196.57,15.611,154,2.43
合肥,742.76,77484,1557.41,1283.4,10751,3489.18,185,2728.5,24958.69,50.2943,172,2.1
福州,693.35,75133,1694.18,1685.46,11057,4385.3,238,4193.9,34445.58,31.3857,116,2.04
厦门,231.03,75452,879.86,527.88,22599,2292.06,91,1446.7,85814.12,14.0266,51,1.27
南昌,524.66,72686,790.69,1610.43,8527,2869.84,162,2097,9885.59,60.9801,118,1.41
济南,643.62,84645,1232.63,1216.27,9644,4465.73,204,4146.1,11305.71,54.4448,238,2.9
青岛,803.28,83539,1330.54,1900.74,10518,5394.18,265,4541,74124.17,34.6238,410,3.09
郑州,842.25,70486,3358.84,3097.81,8631,6538.23,245,4057.2,59635.45,93.5332,219,3.8
武汉,853.65,79684,2686.34,3532.61,11744,6879.71,262,6196.3,28597.09,94.7651,354,3.63
长沙,708.79,85187,1493.44,2260.79,7691,5200.21,231,4547.7,13886.04,61.0379,188,2.93
广州,897.87,98612,2702.89,1757.75,17633,14625.63,243,9402.6,143249.69,106.7335,243,4.97
深圳,434.72,100173,2130.86,671.03,47936,10837.59,541,6016.2,414145.96,8.0613,135,3.33
南宁,756.86,75481,958.09,1544.13,7776,3176.69,197,2204.2,8970,42.5726,115,2.34
海口,171.05,68037,603.25,549.59,11988,3790.1,58,726.1,3109.28,12.7323,123,1.24
重庆,3389.82,73272,3980.08,6711,6792,14367.38,6583,8067.7,66601.11,74.6859,749,6.85
成都,1435.33,79292,2492.65,3925.91,8733,11970.84,595,6403.5,58315.58,81.7432,888,5.82
贵阳,408.31,73939,1024.09,1068.67,7269,2646.09,187,1335.3,2991.55,34.9952,185,1.69
昆明,562.99,76350,1683.33,1827.25,8010,4431.4,279,2591,7817.84,50.3538,308,2.73
西安,905.68,77774,2234.84,2459.35,8513,7497.3,297,4329.5,37699.78,72.6752,329,3.08
兰州,325.55,75709,418.26,697.93,7634,2949.27,157,1358.7,1853.01,40.6279,127,1.37
西宁,205.58,73540,351.33,388.22,6642,1339.19,106,560.8,485.54,7.4222,73,0.85
银川,188.59,77206,402.82,595.22,5177,1496.94,101,562.3,3979.85,10.1638,70,0.9
乌鲁木齐,222.62,78072,422.74,606.94,6668,2600.39,160,1317.1,6807.12,19.3853,127,1.45
